num_robots,boxes,use_hm,fake_hm,counter,carry_counter
13,{'pink': 5},fake_hm,True,1973,"[0, 191, 0, 0, 0, 0, 0, 274, 950, 0, 0, 0, 0]"
13,{'pink': 6},fake_hm,True,1946,"[767, 0, 86, 237, 0, 914, 0, 0, 0, 0, 0, 960, 0]"
13,{'pink': 7},fake_hm,True,1075,"[0, 0, 57, 274, 0, 0, 0, 0, 633, 0, 0, 0, 265]"
13,{'pink': 8},fake_hm,True,1082,"[0, 341, 0, 0, 359, 0, 354, 191, 0, 370, 0, 0, 392]"
13,{'pink': 9},fake_hm,True,887,"[0, 163, 330, 162, 0, 0, 0, 0, 363, 245, 307, 0, 0]"
13,{'pink': 10},fake_hm,True,725,"[0, 0, 237, 0, 80, 389, 0, 0, 99, 358, 344, 0, 362]"
14,{'pink': 4},fake_hm,True,9543,"[0, 193, 0, 0, 0, 1540, 0, 0, 0, 0, 0, 0, 0, 0]"
14,{'pink': 5},fake_hm,True,1709,"[0, 1658, 91, 0, 0, 0, 1560, 0, 0, 0, 295, 0, 0, 0]"
14,{'pink': 6},fake_hm,True,1316,"[215, 1210, 0, 0, 0, 0, 0, 0, 579, 0, 354, 0, 0, 0]"
14,{'pink': 7},fake_hm,True,1876,"[378, 0, 716, 311, 0, 0, 745, 0, 0, 415, 0, 0, 0, 0]"
14,{'pink': 8},fake_hm,True,1350,"[0, 0, 88, 414, 0, 0, 348, 0, 0, 0, 229, 273, 1053, 0]"
14,{'pink': 9},fake_hm,True,1094,"[37, 0, 0, 510, 625, 0, 0, 572, 0, 351, 0, 0, 893, 0]"
14,{'pink': 10},fake_hm,True,1070,"[0, 904, 0, 324, 209, 0, 0, 0, 0, 0, 0, 242, 0, 335]"
15,{'pink': 4},fake_hm,True,2098,"[0, 242, 0, 0, 0, 645, 0, 0, 317, 0, 0, 0, 0, 0, 0]"
15,{'pink': 5},fake_hm,True,1170,"[0, 0, 0, 0, 0, 0, 318, 0, 0, 0, 0, 991, 0, 150, 0]"
15,{'pink': 6},fake_hm,True,1450,"[928, 48, 469, 0, 506, 0, 0, 185, 0, 0, 0, 317, 0, 0, 0]"
15,{'pink': 7},fake_hm,True,1278,"[236, 0, 0, 0, 775, 0, 390, 198, 903, 249, 0, 0, 0, 0, 0]"
15,{'pink': 8},fake_hm,True,1883,"[0, 425, 941, 0, 155, 0, 147, 0, 0, 0, 0, 0, 0, 0, 1149]"
15,{'pink': 9},fake_hm,True,1279,"[0, 268, 0, 0, 0, 191, 0, 0, 173, 27, 999, 0, 0, 0, 792]"
15,{'pink': 10},fake_hm,True,1268,"[368, 0, 1144, 0, 363, 0, 0, 0, 0, 1195, 0, 0, 0, 321, 0]"
16,{'pink': 4},fake_hm,True,3590,"[0, 0, 0, 459, 0, 0, 0, 0, 0, 0, 915, 0, 307, 228, 0, 0]"
16,{'pink': 5},fake_hm,True,2157,"[0, 0, 854, 543, 0, 977, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85]"
16,{'pink': 6},fake_hm,True,2066,"[0, 545, 0, 0, 119, 0, 1050, 280, 0, 0, 1253, 0, 0, 0, 227, 0]"
16,{'pink': 7},fake_hm,True,1019,"[0, 0, 383, 0, 201, 0, 0, 0, 108, 0, 0, 0, 214, 242, 84, 0]"
16,{'pink': 8},fake_hm,True,871,"[257, 0, 0, 802, 85, 189, 550, 0, 0, 326, 185, 0, 0, 0, 0, 0]"
16,{'pink': 9},fake_hm,True,1767,"[0, 0, 0, 618, 353, 0, 0, 0, 0, 534, 0, 574, 0, 0, 0, 992]"
